0.275 -0.473686 -0.5
0.3375 -0.240433 -0.5
0.4 -0.00717968 -0.5
0.275 -0.473686 -0.25
0.3375 -0.240433 -0.25
0.4 -0.00717968 -0.25
0.275 -0.473686 0
0.3375 -0.240433 0
0.4 -0.00717968 0
0.1375 -0.436843 -0.5
0.16875 -0.195216 -0.5
0.2 0.0464102 -0.5
0.1375 -0.436843 -0.25
0.16875 -0.195216 -0.25
0.2 0.0464102 -0.25
0.1375 -0.436843 0
0.16875 -0.195216 0
0.2 0.0464102 0
6.73556e-17 -0.4 -0.5
8.26637e-17 -0.15 -0.5
9.79717e-17 0.1 -0.5
6.73556e-17 -0.4 -0.25
8.26637e-17 -0.15 -0.25
9.79717e-17 0.1 -0.25
6.73556e-17 -0.4 0
8.26637e-17 -0.15 0
9.79717e-17 0.1 0
0.275 -0.473686 0
0.3375 -0.240433 0
0.4 -0.00717968 0
0.275 -0.473686 0.25
0.3375 -0.240433 0.25
0.4 -0.00717968 0.25
0.275 -0.473686 0.5
0.3375 -0.240433 0.5
0.4 -0.00717968 0.5
0.1375 -0.436843 0
0.16875 -0.195216 0
0.2 0.0464102 0
0.1375 -0.436843 0.25
0.16875 -0.195216 0.25
0.2 0.0464102 0.25
0.1375 -0.436843 0.5
0.16875 -0.195216 0.5
0.2 0.0464102 0.5
6.73556e-17 -0.4 0
8.26637e-17 -0.15 0
9.79717e-17 0.1 0
6.73556e-17 -0.4 0.25
8.26637e-17 -0.15 0.25
9.79717e-17 0.1 0.25
6.73556e-17 -0.4 0.5
8.26637e-17 -0.15 0.5
9.79717e-17 0.1 0.5
