x, y, z, level
6.99999, 0.0430273, 0, 0
7.99999, 0.0434294, 0, 0
8.99999, 0.0438315, 0, 0
9.99999, 0.0442336, 0, 0
-8.08518e-06, 0.0402124, 1, 0
0.999992, 0.0406145, 1, 0
1.99999, 0.0410166, 1, 0
2.99999, 0.0414188, 1, 0
3.99999, 0.0418209, 1, 0
4.99999, 0.042223, 1, 0
5.99999, 0.0426251, 1, 0
6.99999, 0.0430273, 1, 0
7.99999, 0.0434294, 1, 0
8.99999, 0.0438315, 1, 0
9.99999, 0.0442336, 1, 0
-8.08518e-06, 0.0402124, 2, 0
0.999992, 0.0406145, 2, 0
1.99999, 0.0410166, 2, 0
2.99999, 0.0414188, 2, 0
3.99999, 0.0418209, 2, 0
1.99999, 0.0410166, 3, 0
2.99999, 0.0414188, 3, 0
0.999992, 0.0406145, 4, 0
1.99999, 0.0410166, 4, 0
-8.08518e-06, 0.0402124, 5, 0
0.999992, 0.0406145, 5, 0
9.99999, 0.0442336, 5, 0
-8.08518e-06, 0.0402124, 6, 0
8.99999, 0.0438315, 6, 0
9.99999, 0.0442336, 6, 0
7.99999, 0.0434294, 7, 0
8.99999, 0.0438315, 7, 0
6.99999, 0.0430273, 8, 0
7.99999, 0.0434294, 8, 0
5.99999, 0.0426251, 9, 0
6.99999, 0.0430273, 9, 0
7.99999, 0.0434294, 9, 0
8.99999, 0.0438315, 9, 0
9.99999, 0.0442336, 9, 0
-8.08518e-06, 0.0402124, 10, 0
0.999992, 0.0406145, 10, 0
1.99999, 0.0410166, 10, 0
2.99999, 0.0414188, 10, 0
3.99999, 0.0418209, 10, 0
4.99999, 0.042223, 10, 0
5.99999, 0.0426251, 10, 0
6.99999, 0.0430273, 10, 0
7.99999, 0.0434294, 10, 0
8.99999, 0.0438315, 10, 0
9.99999, 0.0442336, 10, 0
-1.26331e-05, 0.0502655, 0, 0
0.999987, 0.0507681, 0, 0
1.99999, 0.0512708, 0, 0
2.99999, 0.0517734, 0, 0
3.99999, 0.0522761, 0, 0
4.99999, 0.0527788, 0, 0
2.99999, 0.0517734, 1, 0
3.99999, 0.0522761, 1, 0
1.99999, 0.0512708, 2, 0
2.99999, 0.0517734, 2, 0
0.999987, 0.0507681, 3, 0
1.99999, 0.0512708, 3, 0
-1.26331e-05, 0.0502655, 4, 0
0.999987, 0.0507681, 4, 0
9.99999, 0.055292, 4, 0
-1.26331e-05, 0.0502655, 5, 0
8.99999, 0.0547894, 5, 0
9.99999, 0.055292, 5, 0
7.99999, 0.0542867, 6, 0
8.99999, 0.0547894, 6, 0
6.99999, 0.0537841, 7, 0
7.99999, 0.0542867, 7, 0
8.99999, 0.0547894, 7, 0
9.99999, 0.055292, 7, 0
-1.26331e-05, 0.0502655, 8, 0
0.999987, 0.0507681, 8, 0
1.99999, 0.0512708, 8, 0
2.99999, 0.0517734, 8, 0
3.99999, 0.0522761, 8, 0
4.99999, 0.0527788, 8, 0
5.99999, 0.0532814, 8, 0
6.99999, 0.0537841, 8, 0
7.99999, 0.0542867, 8, 0
8.99999, 0.0547894, 8, 0
9.99999, 0.055292, 8, 0
-1.26331e-05, 0.0502655, 9, 0
0.999987, 0.0507681, 9, 0
1.99999, 0.0512708, 9, 0
2.99999, 0.0517734, 9, 0
3.99999, 0.0522761, 9, 0
4.99999, 0.0527788, 9, 0
5.99999, 0.0532814, 9, 0
3.99999, 0.0522761, 10, 0
4.99999, 0.0527788, 10, 0
2.99998, 0.0621281, 0, 0
3.99998, 0.0627313, 0, 0
1.99998, 0.0615249, 1, 0
2.99998, 0.0621281, 1, 0
0.999982, 0.0609218, 2, 0
1.99998, 0.0615249, 2, 0
-1.81917e-05, 0.0603186, 3, 0
0.999982, 0.0609218, 3, 0
9.99998, 0.0663504, 3, 0
-1.81917e-05, 0.0603186, 4, 0
8.99998, 0.0657472, 4, 0
9.99998, 0.0663504, 4, 0
7.99998, 0.0651441, 5, 0
8.99998, 0.0657472, 5, 0
9.99998, 0.0663504, 5, 0
-1.81917e-05, 0.0603186, 6, 0
0.999982, 0.0609218, 6, 0
1.99998, 0.0615249, 6, 0
2.99998, 0.0621281, 6, 0
3.99998, 0.0627313, 6, 0
4.99998, 0.0633345, 6, 0
5.99998, 0.0639377, 6, 0
6.99998, 0.0645409, 6, 0
7.99998, 0.0651441, 6, 0
8.99998, 0.0657472, 6, 0
9.99998, 0.0663504, 6, 0
-1.81917e-05, 0.0603186, 7, 0
0.999982, 0.0609218, 7, 0
1.99998, 0.0615249, 7, 0
2.99998, 0.0621281, 7, 0
3.99998, 0.0627313, 7, 0
4.99998, 0.0633345, 7, 0
5.99998, 0.0639377, 7, 0
6.99998, 0.0645409, 7, 0
4.99998, 0.0633345, 8, 0
5.99998, 0.0639377, 8, 0
3.99998, 0.0627313, 9, 0
4.99998, 0.0633345, 9, 0
2.99998, 0.0621281, 10, 0
3.99998, 0.0627313, 10, 0
1.99997, 0.0717791, 0, 0
2.99997, 0.0724828, 0, 0
0.999975, 0.0710754, 1, 0
1.99997, 0.0717791, 1, 0
-2.47609e-05, 0.0703717, 2, 0
0.999975, 0.0710754, 2, 0
9.99997, 0.0774088, 2, 0
-2.47609e-05, 0.0703717, 3, 0
8.99997, 0.0767051, 3, 0
9.99997, 0.0774088, 3, 0
-2.47609e-05, 0.0703717, 4, 0
0.999975, 0.0710754, 4, 0
1.99997, 0.0717791, 4, 0
2.99997, 0.0724828, 4, 0
3.99997, 0.0731865, 4, 0
4.99997, 0.0738903, 4, 0
5.99997, 0.074594, 4, 0
6.99997, 0.0752977, 4, 0
7.99997, 0.0760014, 4, 0
8.99997, 0.0767051, 4, 0
9.99997, 0.0774088, 4, 0
-2.47609e-05, 0.0703717, 5, 0
0.999975, 0.0710754, 5, 0
1.99997, 0.0717791, 5, 0
2.99997, 0.0724828, 5, 0
3.99997, 0.0731865, 5, 0
4.99997, 0.0738903, 5, 0
5.99997, 0.074594, 5, 0
6.99997, 0.0752977, 5, 0
7.99997, 0.0760014, 5, 0
5.99997, 0.074594, 6, 0
6.99997, 0.0752977, 6, 0
4.99997, 0.0738903, 7, 0
